target x,target y,x trajectory,y_trajectory
,,-0.054943973,-0.004285726
,,-0.054958863,-0.004289096
,,-0.054973261,-0.00429213
,,-0.05498717,-0.004294826
,,-0.055000591,-0.004297182
,,-0.055013528,-0.004299199
,,-0.055025982,-0.004300873
,,-0.055037957,-0.004302204
,,-0.055049454,-0.004303192
,,-0.055060479,-0.004303835
,,-0.055071033,-0.004304132
,,-0.055081119,-0.004304082
,,-0.055090743,-0.004303686
,,-0.055099906,-0.004302942
,,-0.055108614,-0.00430185
,,-0.055116869,-0.004300409
,,-0.055124677,-0.004298621
,,-0.055132041,-0.004296484
,,-0.055138965,-0.004293998
,,-0.055145455,-0.004291165
,,-0.055151515,-0.004287984
,,-0.05515715,-0.004284456
,,-0.055162364,-0.004280581
,,-0.055167164,-0.004276361
,,-0.055171553,-0.004271795
,,-0.055175538,-0.004266887
,,-0.055179123,-0.004261636
,,-0.055182315,-0.004256044
,,-0.055185119,-0.004250114
,,-0.055187541,-0.004243846
,,-0.055189587,-0.004237242
,,-0.055191262,-0.004230305
,,-0.055192573,-0.004223038
,,-0.055193526,-0.004215442
,,-0.055194127,-0.004207521
,,-0.055194382,-0.004199277
,,-0.055194299,-0.004190714
,,-0.055193882,-0.004181835
,,-0.055193139,-0.004172642
,,-0.055192077,-0.004163141
,,-0.055190701,-0.004153335
,,-0.055189019,-0.004143227
